"","Control-3","Control-2","Control-1","H99-3","H99-2","H99-1"
"FBgn0031208",44.6154927447093,0.884616783939398,0,35.7034549144138,23.2409612325683,0
"FBgn0002121",11930.5883553238,13900.8681428237,8399.39137493797,15033.2547221985,10102.0711490897,7353.36004176976
"FBgn0051973",318.392380041789,766.078134891519,327.099960171804,740.321638666521,990.645972538223,550.770429507201
"FBgn0067779",1859.6548566772,1847.07984486546,1169.71710903543,2122.25536417736,1941.58863630414,1386.85457297164
"FBgn0266322",17.2378040150013,24.7692699503031,5.73859579248779,45.1543694505822,0,43.8944175318832
"FBgn0031213",240.315267738548,246.808082719092,248.672484341138,350.733939453359,204.326784169663,320.847290054479
"FBgn0002931",5.06994235735333,85.8078280421216,60.2552558211218,13.6513209966876,64.8810167742531,64.7965211184942
"FBgn0031216",969.372978725956,1218.11731148455,1109.46185321431,1249.62092200448,1197.87787686196,798.460357008541
"FBgn0031217",1441.89160643129,1606.46407963395,768.015403561283,707.768488597497,1093.2935513154,799.505462187872
"FBgn0026787",1083.95367600214,1104.00174635637,1097.98466162933,1742.11857950037,1417.69863518667,1531.07908771926
"FBgn0005278",1325.28293221216,2831.65832539001,3628.70540611645,2601.10170067656,3159.8023542446,3150.99211568161
"FBgn0031228",5473.50976899865,4458.46859105456,5016.48915526641,4631.99822433762,3955.80527646006,6283.17233813528
"FBgn0031219",145.000351420305,80.5001273384852,102.338291632699,376.986479831604,177.212329398333,114.961569726361
"FBgn0031220",9833.66019632251,7550.20425092276,12161.9973495458,19323.9699216189,15063.0479988583,17997.7562932514
"FBgn0025683",49903.4426234288,51044.1576668711,47594.9570702617,58276.4392332443,56022.3370511059,50505.7528963282
"FBgn0266304",295.070645197964,207.000327441819,193.199391680422,255.174692476546,244.030092941967,220.517192838746
"FBgn0001142",23500.1968148041,26075.8489401816,25138.8753016249,27688.0292861279,24875.5755059256,25430.5443286503
"FBgn0051974",36.5035849729439,27.4231203021213,211.371611689967,192.168595568757,40.6716821569945,52.2552589665276
"FBgn0031224",1425.66779088776,1079.23247640607,1629.76120506653,1225.4685848565,1576.51187027588,1855.06169331173
"FBgn0259818",1.01398847147067,0,0.956432632081299,143.863921272785,30.987948310091,147.359830285608
"FBgn0031227",165.280120849718,46.8846895487881,78.4274758306665,0,49.3870426192076,114.961569726361
"FBgn0031229",1684.23485111277,1834.69520989031,1959.73046313458,1542.5992726257,1851.52991152794,1491.3650909047
"FBgn0053635",1775.49381354513,1224.30962897213,1400.21737336702,1798.82406671738,1415.76188841728,1729.64907179206
"FBgn0016977",18007.4212648475,13472.713619397,11201.7389869362,17951.4871106442,16438.1382051186,21968.1108695282
"FBgn0031231",397.483480816501,705.924193583639,456.21836550278,504.048775262312,617.82221943244,747.250203221344
"FBgn0031232",0,185.769524627274,103.29472426478,153.314835808953,60.0391498508014,41.8042071732221
"FBgn0031233",799.022915518884,1082.77094354182,814.880602533267,1258.02173492552,1225.96070501798,1172.60801120888
"FBgn0266557",3808.54069884382,4592.93034221335,4207.34714852563,4681.35300024873,5442.25842195974,4709.24393806347
"FBgn0265149",12.167861657648,1.7692335678788,43.9959010757398,0,30.0195749254007,4.18042071732221
"FBgn0022246",142.972374477364,367.11596533485,213.28447695413,174.31686811155,347.646045103834,248.735032680671
"FBgn0031238",308.252495327082,684.693390769094,796.708382523722,483.046742959716,939.322183149635,1100.49575383507
"FBgn0031239",30.41965414412,0,12.4336242170569,0,11.6204806162841,66.8867314771553
"FBgn0086912",79.0911007747119,55.7308573881821,138.682731651788,48.3046742959716,117.173179547532,179.758090844855
"FBgn0086856",402.553423173854,398.962169556668,480.129181304812,352.834142683619,491.933679422695,407.591019938915
"FBgn0086855",412.693307888561,616.57789840576,431.351117068666,710.918793442886,875.409539760072,135.863673312972
"FBgn0003444",808.14881176212,403.385253476365,270.670434879008,1207.61685739929,918.017968686447,626.018002419
"FBgn0031244",1565.59819995071,1531.2716529991,2132.8447695413,1505.84571609616,1669.47571520616,2103.7967259924
"FBgn0031245",4242.52776463326,5595.20115841669,3994.0626715715,3975.68471488149,3476.46045103834,4211.77387270212
"FBgn0025686",127.762547405304,53.9616238203033,9.56432632081299,213.170627871353,91.9954715455828,0
"FBgn0031247",285.944748954728,292.808155483941,193.199391680422,249.924184400897,214.010518016566,177.667880486194
"FBgn0017457",879.128004765067,586.500927751821,995.646369996632,441.042678354523,631.379446818105,677.228156206197
