"","Control-3","Control-2","Control-1","H99-3","H99-2","H99-1"
"FBgn0267594",0,0,0,0,0,0
"FBgn0259849",0,0,0,0,0,0
"FBgn0085494",0,0,0,0,0,0
"FBgn0085506",0,0,0,0,0,0
"FBgn0259870",0,0,0,0,0,0
"FBgn0259817",0,0,0,0,0,0
"FBgn0085511",0,0,0,0,0,0
"FBgn0259864",0,0,0,0,0,0
"FBgn0259837",0,0,0,0,0,0
"FBgn0085692",0,0,0,0,0,0
"FBgn0267595",0,0,0,0,0,0
"FBgn0085540",0,0,0,0,0,0
"FBgn0259842",0,0,0,0,0,0
"FBgn0259839",0,0,0,0,0,0
"FBgn0259840",0,0,0,0,0,0
"FBgn0267596",0,0,0,0,0,0
"FBgn0031208",44,1,0,34,24,0
"FBgn0002121",11766,15714,8782,14316,10432,7036
"FBgn0031209",8,12,15,0,0,0
"FBgn0263584",8,20,0,3,14,0
"FBgn0051973",314,866,342,705,1023,527
"FBgn0266878",0,3,0,0,0,0
"FBgn0266879",0,2,0,6,0,0
"FBgn0067779",1834,2088,1223,2021,2005,1327
"FBgn0266322",17,28,6,43,0,42
"FBgn0031213",237,279,260,334,211,307
"FBgn0031214",0,0,0,0,0,0
"FBgn0002931",5,97,63,13,67,62
"FBgn0031216",956,1377,1160,1190,1237,764
"FBgn0031217",1422,1816,803,674,1129,765
"FBgn0026787",1069,1248,1148,1659,1464,1465
"FBgn0005278",1307,3201,3794,2477,3263,3015
"FBgn0031228",5398,5040,5245,4411,4085,6012
"FBgn0031219",143,91,107,359,183,110
"FBgn0031220",9698,8535,12716,18402,15555,17221
"FBgn0025683",49215,57702,49763,55496,57852,48326
"FBgn0266304",291,234,202,243,252,211
"FBgn0001142",23176,29477,26284,26367,25688,24333
"FBgn0265074",0,0,0,18,0,20
"FBgn0265075",0,0,10,6,0,11
"FBgn0051976",0,0,0,0,0,0
"FBgn0051975",0,0,0,0,0,0
"FBgn0051974",36,31,221,183,42,50
"FBgn0031224",1406,1220,1704,1167,1628,1775
"FBgn0259818",1,0,1,137,32,141
"FBgn0031227",163,53,82,0,51,110
"FBgn0031229",1661,2074,2049,1469,1912,1427
"FBgn0053635",1751,1384,1464,1713,1462,1655
"FBgn0016977",17759,15230,11712,17095,16975,21020
"FBgn0031231",392,798,477,480,638,715
"FBgn0031232",0,210,108,146,62,40
"FBgn0031233",788,1224,852,1198,1266,1122
"FBgn0266557",3756,5192,4399,4458,5620,4506
"FBgn0265151",0,5,0,0,0,0
"FBgn0265153",0,0,0,15,0,0
"FBgn0265152",0,4,0,7,11,0
"FBgn0263465",0,0,0,0,0,0
"FBgn0031235",0,0,0,0,0,0
"FBgn0262252",0,0,0,0,0,0
"FBgn0265149",12,2,46,0,31,4
"FBgn0022246",141,415,223,166,359,238
"FBgn0031238",304,774,833,460,970,1053
"FBgn0031239",30,0,13,0,12,64
"FBgn0265150",0,0,0,0,0,0
"FBgn0031240",0,6,10,0,0,0
"FBgn0086912",78,63,145,46,121,172
"FBgn0086856",397,451,502,336,508,390
"FBgn0086855",407,697,451,677,904,130
"FBgn0003444",797,456,283,1150,948,599
"FBgn0031244",1544,1731,2230,1434,1724,2013
"FBgn0031245",4184,6325,4176,3786,3590,4030
"FBgn0025686",126,61,10,203,95,0
"FBgn0031247",282,331,202,238,221,170
"FBgn0017457",867,663,1041,420,652,648
"FBgn0024352",2213,2792,4462,1358,4091,1554
"FBgn0020622",1109,1980,1597,2405,1502,1748
"FBgn0004611",1712,1364,1758,3000,1691,2310
"FBgn0263872",0,0,0,5,0,0
"FBgn0031248",0,0,13,0,14,0
"FBgn0031249",0,0,7,18,40,14
"FBgn0053127",0,0,10,14,53,36
"FBgn0264086",96,7,5,13,135,287
"FBgn0051921",69,0,0,0,42,82
"FBgn0031250",7199,6219,7994,8741,8861,10290
"FBgn0266907",481,246,493,366,500,461
"FBgn0266906",171,110,151,164,159,256
