"","Control-3","Control-2","Control-1","H99-3","H99-2","H99-1"
"FBgn0031208",4.13201242160734,4.07503021654136,4.07384520675,4.12075824754003,4.1047354110362,4.07386398312261
"FBgn0002121",13.5011490367851,13.6602961142643,13.1433222595424,13.7425222484519,13.3301612050355,13.0107375457309
"FBgn0051973",8.95129217937435,9.33286628230468,8.9604932565472,9.31481724767795,9.47561952069633,9.17008871785951
"FBgn0067779",10.7969037909684,10.7917592432386,10.4627204917515,10.8990550424989,10.8299420679945,10.5808982820275
"FBgn0266322",4.48689323062395,4.49676602246656,4.47155646979297,4.52281244386753,4.46379067123593,4.52123084468474
"FBgn0031213",8.03327563862687,8.04003377553385,8.04198107390059,8.14128049424083,7.99467312785496,8.1135268285747
"FBgn0002931",5.53865922207321,5.64164424446719,5.61054281046844,5.55029520132005,5.61626778119836,5.61615029115525
"FBgn0031216",10.0116566093767,10.155465101299,10.0953429601988,10.1721443044977,10.1445351394061,9.89813380398658
"FBgn0031217",10.2314692334082,10.3070810306035,9.83684769671688,9.791788034449,10.0482527500298,9.85965529283136
"FBgn0026787",10.2314959015059,10.24325753171,10.239757226244,10.5588127922015,10.4113415381581,10.4654423057832
"FBgn0005278",10.8288541985891,11.435964958093,11.6532218954869,11.3635483372164,11.5309664124947,11.5285061326889
"FBgn0031228",12.3658584738009,12.1721806832516,12.2829513968311,12.2078366588845,12.0623626498444,12.4977596039541
"FBgn0031219",7.30216544760171,7.22149175801786,7.24980577599379,7.53794397472762,7.33945741472255,7.26571179831626
"FBgn0031220",13.3797736211115,13.1146421795393,13.5975637545233,14.0848888241196,13.8206494831427,14.0089954621544
"FBgn0025683",15.6223562349049,15.6468209030651,15.5712509112496,15.7908656891954,15.7479153971066,15.6353375435827
"FBgn0266304",7.93723124392868,7.84713821718697,7.83206763943207,7.89771782776615,7.88631283434637,7.86167885095598
"FBgn0001142",14.5501463541044,14.6609300272119,14.621841934603,14.7251617508056,14.6106140915124,14.6341532825175
